Time: 1441, BMP Temp: 32.12, BMP Pressure: 1006.58, BMP Altitude: 55.71, IMU Accel X: -0.00, IMU Accel Y: -10.02, IMU Accel Z: -0.18, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.84
Time: 1470, BMP Temp: 32.12, BMP Pressure: 1006.58, BMP Altitude: 55.69, IMU Accel X: -0.05, IMU Accel Y: -9.96, IMU Accel Z: -0.21, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -4.32
Time: 1499, BMP Temp: 32.12, BMP Pressure: 1006.58, BMP Altitude: 55.68, IMU Accel X: -0.05, IMU Accel Y: -9.99, IMU Accel Z: -0.27, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 1528, BMP Temp: 32.13, BMP Pressure: 1006.58, BMP Altitude: 55.72, IMU Accel X: 0.05, IMU Accel Y: -10.01, IMU Accel Z: -0.12, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 1557, BMP Temp: 32.13, BMP Pressure: 1006.58, BMP Altitude: 55.72, IMU Accel X: 0.07, IMU Accel Y: -9.96, IMU Accel Z: -0.22, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.44, Accel Y: 13.45, Accel Z: -3.84
Time: 1586, BMP Temp: 32.13, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.03, IMU Accel Y: -10.00, IMU Accel Z: -0.23, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -3.84
Time: 1615, BMP Temp: 32.13, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: 0.04, IMU Accel Y: -10.11, IMU Accel Z: -0.13, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.81
Time: 1644, BMP Temp: 32.13, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.08, IMU Accel Y: -10.04, IMU Accel Z: -0.22, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.44, Accel Y: 12.97, Accel Z: -4.81
Time: 1673, BMP Temp: 32.13, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: 0.01, IMU Accel Y: -9.99, IMU Accel Z: -0.18, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 1702, BMP Temp: 32.13, BMP Pressure: 1006.57, BMP Altitude: 55.79, IMU Accel X: -0.06, IMU Accel Y: -9.99, IMU Accel Z: -0.21, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 1731, BMP Temp: 32.13, BMP Pressure: 1006.57, BMP Altitude: 55.78, IMU Accel X: -0.02, IMU Accel Y: -10.06, IMU Accel Z: -0.17, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -3.84
Time: 1760, BMP Temp: 32.13, BMP Pressure: 1006.57, BMP Altitude: 55.77, IMU Accel X: -0.02, IMU Accel Y: -10.04, IMU Accel Z: -0.19, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 1789, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.08, IMU Accel Y: -10.05, IMU Accel Z: -0.19, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 1818, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.00, IMU Accel Y: -10.07, IMU Accel Z: -0.20, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 1847, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.77, IMU Accel X: -0.07, IMU Accel Y: -10.03, IMU Accel Z: -0.21, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 1875, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.76, IMU Accel X: -0.11, IMU Accel Y: -10.05, IMU Accel Z: -0.18, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -3.84
Time: 1904, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.04, IMU Accel Y: -9.96, IMU Accel Z: -0.18, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.44, Accel Y: 13.45, Accel Z: -4.81
Time: 1934, BMP Temp: 32.14, BMP Pressure: 1006.58, BMP Altitude: 55.71, IMU Accel X: -0.06, IMU Accel Y: -10.02, IMU Accel Z: -0.21, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.49, Accel Z: -3.36
Time: 1962, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.79, IMU Accel X: -0.02, IMU Accel Y: -10.02, IMU Accel Z: -0.19, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 1991, BMP Temp: 32.14, BMP Pressure: 1006.58, BMP Altitude: 55.71, IMU Accel X: -0.03, IMU Accel Y: -9.96, IMU Accel Z: -0.21, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 2020, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.74, IMU Accel X: -0.09, IMU Accel Y: -10.00, IMU Accel Z: -0.17, Gyro X: 0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.36
Time: 2049, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.80, IMU Accel X: 0.00, IMU Accel Y: -10.00, IMU Accel Z: -0.14, Gyro X: -0.01, Gyro Y: -0.00, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 2078, BMP Temp: 32.14, BMP Pressure: 1006.57, BMP Altitude: 55.77, IMU Accel X: -0.05, IMU Accel Y: -9.98, IMU Accel Z: -0.23, Gyro X: -0.00, Gyro Y: -0.00, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
