28,16,0.02,-10,-0.14,-0.01,,
28,16,-0.01,-10.01,-0.09,-0.01,,
28,16,0.05,-10.02,-0.08,-0.01,,
28,16,0.07,-10.1,-0.13,-0.01,,
28,16,-0.02,-10.07,-0.11,0,,
28,16,0.05,-10.05,-0.12,-0.01,,
28,16,-0.01,-9.96,-0.09,0,,
28,16,0.03,-9.99,-0.01,-0.01,,
28,16,0.04,-10.02,-0.1,-0.01,,
28,16,0.04,-10.01,-0.15,0,,
28,16,-0.02,-9.96,-0.06,0,,
28,16,-0.02,-9.96,-0.14,0,,
28,16,-0.01,-10,-0.08,-0.01,,
28,16,0.02,-10.09,-0.11,-0.01,,
28,16,0.09,-9.98,-0.2,-0.01,,
28,16,-0.17,-10.12,-0.25,-0.01,,
28,16,-0.02,-10.02,-0.05,-0.01,,
28,16,-0.04,-10.04,-0.1,-0.01,,
28,16,0,-10.04,-0.18,0,,
28,16,0.05,-10.02,-0.05,0,,
28,16,0.03,-9.94,0,-0.01,,
28,16,0.04,-10.01,-0.01,0,,
28,16,0.03,-10.05,-0.12,-0.01,,
28,16,0.17,-10.11,-0.08,0,,
28,16,-0.04,-10.09,-0.1,0,,
28,16,0.06,-10.01,-0.12,0,,
28,16,0.1,-9.99,-0.17,0,,
28,16,0.05,-10.01,-0.11,-0.01,,
28,16,-0.05,-10.01,-0.16,0,,
28,16,0.16,-10.12,-0.31,0,,
28,16,-0.11,-9.96,0.08,-0.01,,
28,16,0.1,-10.01,-0.14,-0.01,,
28,16,0.19,-12.83,-1.94,0,,
28,16,0.33,-10.27,-0.47,0.01,,
28,16,-0.06,-9.87,-0.2,-0.02,,
28,16,0.01,-10.27,-0.14,0,,
28,16,-0.09,-9.89,-0.08,0,,
28,16,1.83,-10.21,-1.61,0,,
28,16,-0.01,-10.01,-0.16,0,,
28,16,0.02,-9.97,0,-0.01,,
28,16,-0.09,-9.94,-0.17,-0.01,,
28,16,0.04,-9.98,-0.02,0,,
28,16,-0.05,-10.07,-0.16,-0.01,,
28,16,0,-10.05,-0.14,0,,
28,16,-0.11,-10,-0.11,0,,
28,16,-0.11,-10.03,0.02,0,,
28,16,-0.15,-10.04,-0.11,-0.01,,
28,16,0.01,-10.11,-0.26,-0.01,,
28,16,0.06,-9.99,-0.06,0,,
28,16,-0.24,-10.5,-0.31,0.02,,
